customer_id,age,gender,location,income,loyalty_score,last_purchase_days
1000,56,F,Rural,48601.592388907084,1.8190188194619725,330
1001,69,F,Rural,54656.50145890204,7.537573293852054,353
1002,46,M,Suburban,49313.02077375367,5.927016762092004,118
1003,32,M,Urban,63953.317490517824,5.05819402674494,294
1004,60,F,Suburban,33506.681907921025,9.194241505629456,159
1005,25,M,Urban,85642.84959041036,3.6816350638775543,303
1006,38,M,Rural,60289.87933998539,5.712420484135101,228
1007,56,M,Urban,89015.0371842668,7.27877684344117,216
1008,36,F,Urban,64685.69588690085,8.168245981064896,184
1009,40,F,Urban,91345.23020755107,5.134121271515552,15
1010,28,F,Rural,60656.2112517816,8.578822735168387,157
1011,28,M,Rural,53462.50754123128,7.920259671838577,136
1012,41,M,Urban,74643.37088640656,1.5961238006667928,261
1013,53,F,Urban,92360.13228227454,1.4127513976416965,157
1014,57,F,Suburban,61350.29440078777,6.5872511597988215,47
1015,41,F,Urban,114298.33366701365,4.1267206740287286,324
1016,20,F,Suburban,33526.76940080816,2.8821771197066277,332
1017,39,M,Urban,67615.14285440209,6.216849410245645,173
1018,19,F,Suburban,117082.24963682228,4.074068894108905,130
1019,41,M,Rural,79317.46949232786,5.83537075042663,95
1020,61,F,Urban,68112.38480773068,5.141072430852148,115
1021,47,M,Urban,81166.82553749625,6.262894953542383,243
1022,55,F,Urban,81833.21177322761,4.602704400192533,292
1023,19,F,Urban,95848.29797696762,7.279008163272386,282
1024,38,F,Suburban,41492.0756480219,2.6206054511436867,299
1025,50,F,Urban,52501.480429449424,7.268513196043711,283
1026,29,M,Rural,82248.96111095189,4.704950929217754,69
1027,39,F,Rural,108040.49464887498,8.868858443689753,148
1028,61,M,Urban,80568.00229293962,5.637124493777898,11
1029,42,M,Rural,51473.71738113061,9.757993143430939,254
1030,66,M,Urban,91186.03019102212,6.417418559868642,330
1031,44,M,Urban,96591.78844026371,3.0146415931568855,360
1032,59,F,Rural,51441.25371635815,8.396115731600043,38
1033,45,M,Urban,63995.59975586654,4.105743650401481,134
1034,33,M,Rural,78089.47261775071,4.128572930344152,200
